True,Pred
2822,0.19984002
2850,0.19984002
2634,0.19984002
2734,0.19984002
2810,0.19984002
2925,0.19984002
2970,0.19984002
2739,0.19984002
2718,0.19984002
3098,0.19984002
3416,0.19984002
3721,0.19984002
3608,0.19984002
3475,0.19984002
3384,0.19984002
3668,0.19984002
3624,0.19984002
3518,0.19984002
3695,0.19984002
3745,0.19984002
4044,0.19984002
4332,0.19984002
4006,0.19984002
4252,0.19984002
4056,0.19984002
4129,0.19984002
3950,0.19984002
3980,0.19984002
4000,0.19984002
4022,0.19984002
3832,0.19984002
3820,0.19984002
4017,0.19984002
4008,0.19984002
3671,0.19984002
4155,0.19984002
3922,0.19984002
4079,0.19984002
4063,0.19984002
4085,0.19984002
4061,0.19984002
3882,0.19984002
3999,0.19984002
3692,0.19984002
3976,0.19984002
